epoch,threshold,val_island0,val_island1,accuracy,mid_err,err_gap,n_i0,y_mix_mean_i0,y_mix_std_i0,corr_y_mix_true_i0,y_stat_mean_i0,y_sem_mean_i0,delta_sun_mean_i0,delta_plant_mean_i0,delta_ratio_sun_over_plant_i0,attn_mean_0_i0,attn_mean_1_i0,attn_mean_2_i0,attn_mean_3_i0,attn_mean_4_i0,attn_mean_5_i0,attn_mean_6_i0,attn_mass_0_2_i0,attn_mass_3_5_i0,attn_mass_6_i0,n_i1,y_mix_mean_i1,y_mix_std_i1,corr_y_mix_true_i1,y_stat_mean_i1,y_sem_mean_i1,delta_sun_mean_i1,delta_plant_mean_i1,delta_ratio_sun_over_plant_i1,attn_mean_0_i1,attn_mean_1_i1,attn_mean_2_i1,attn_mean_3_i1,attn_mean_4_i1,attn_mean_5_i1,attn_mean_6_i1,attn_mass_0_2_i1,attn_mass_3_5_i1,attn_mass_6_i1,n_total,n_ratio_i0,n_ratio_i1,y_mix_mean_diff_i0_minus_i1,delta_sun_mean_diff_i0_minus_i1,delta_plant_mean_diff_i0_minus_i1,attn_mass_0_2_diff_i0_minus_i1,attn_mass_3_5_diff_i0_minus_i1,attn_mass_6_diff_i0_minus_i1
0,0.1292986571788787,0.2585973230464813,0.0,1.0,0.12929866152324065,0.2585973230464813,343,0.6679152846336365,0.0022899822797626,0.6890279650688171,0.7905088663101196,0.5453217029571533,0.0039917170070111,0.6679152846336365,0.0059763820937813,0.144348993897438,0.1438468694686889,0.1438549309968948,0.1425510942935943,0.1434829533100128,0.1396496444940567,0.1422656178474426,0.4320507645606994,0.4256836771965027,0.1422656178474426,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1434528082609176,0.1439322531223297,0.1439507007598877,0.1428613364696502,0.142591506242752,0.1408644020557403,0.1423470973968505,0.4313357472419739,0.4263172447681427,0.1423470973968505,512,0.669921875,0.330078125,0.6679152846336365,0.0039917170070111,0.6679152846336365,0.0007150173187255304,-0.0006335675716400146,-8.147954940790347e-05
200,0.0498880045488476,0.0308542782800239,0.0689217303818017,1.0,0.0498880043309128,-0.0380674521017778,285,0.6804510354995728,0.4587669372558594,0.9953948855400084,0.6336840391159058,0.7272180318832397,0.2515196800231933,0.6804510354995728,0.3696367015477695,0.1721101552248001,0.1728136390447616,0.1694597750902176,0.1046167314052581,0.2454237341880798,0.1020474731922149,0.0335283912718296,0.5143835544586182,0.452087938785553,0.0335283912718296,227,0.5141086578369141,0.3888257443904876,0.9615703821182252,0.6611549258232117,0.3670622706413269,0.11015485227108,0.5141086578369141,0.2142637523202067,0.1280648112297058,0.12368044257164,0.1268680989742279,0.2075513899326324,0.1825318485498428,0.2061505913734436,0.0251528285443782,0.3786133527755737,0.5962338447570801,0.0251528285443782,512,0.556640625,0.443359375,0.1663423776626587,0.1413648277521133,0.1663423776626587,0.1357702016830445,-0.1441459059715271,0.008375562727451397
400,0.0463271718472242,0.0340566225085698,0.0585977212242458,1.0,0.0463271718664078,-0.024541098715676002,282,0.689703106880188,0.4168440401554107,0.994712233543396,0.6594482064247131,0.7059447169303894,0.3477928638458252,0.689703106880188,0.5042645963658043,0.1489469856023788,0.1484259665012359,0.1436763256788253,0.1120228022336959,0.2985933721065521,0.1156428456306457,0.0326916575431823,0.4410492777824402,0.5262590050697327,0.0326916575431823,230,0.466079831123352,0.406520664691925,0.969219982624054,0.6188676357269287,0.3840594887733459,0.189275860786438,0.466079831123352,0.4061017964867193,0.1199767738580703,0.113923355937004,0.118686206638813,0.2368757426738739,0.1634384989738464,0.2204182147979736,0.0266812574118375,0.3525863289833069,0.6207324266433716,0.0266812574118375,512,0.55078125,0.44921875,0.223623275756836,0.1585170030593872,0.223623275756836,0.0884629487991333,-0.09447342157363892,0.006010400131344795
600,0.0400131922215223,0.0300412260471506,0.0499851593504781,1.0,0.04001319269881435,-0.0199439333033275,282,0.7064945101737976,0.4268303215503692,0.9947822690010072,0.6777320504188538,0.7371137142181396,0.345447689294815,0.7064945101737976,0.4889601821820711,0.1362168490886688,0.1355432271957397,0.1295864284038543,0.1113102585077285,0.3404097557067871,0.1151517108082771,0.0317816734313964,0.4013465046882629,0.566871702671051,0.0317816734313964,230,0.4781585037708282,0.4098995923995971,0.9770070314407348,0.5188716053962708,0.4348173141479492,0.1850471496582031,0.4781585037708282,0.3869995918276016,0.1226396635174751,0.1150342971086502,0.1211149469017982,0.2242354452610016,0.1761240065097808,0.212851881980896,0.0279997233301401,0.3587889075279236,0.6132113337516785,0.0279997233301401,512,0.55078125,0.44921875,0.22833600640296942,0.1604005396366119,0.22833600640296942,0.0425575971603393,-0.04633963108062744,0.003781950101256301
800,0.0419698283076286,0.0330827753302943,0.0508568791548411,1.0,0.0419698272425677,-0.0177741038245468,287,0.6919666528701782,0.420492023229599,0.9944244027137756,0.6861445903778076,0.6986856460571289,0.344762235879898,0.6919666528701782,0.4982353260341674,0.1242884472012519,0.1233208179473877,0.1165959313511848,0.1251471638679504,0.3539708256721496,0.1257562786340713,0.0309205763041973,0.3642051815986633,0.6048742532730103,0.0309205763041973,225,0.4673398733139038,0.3999727070331573,0.9775614142417908,0.5034759640693665,0.425637274980545,0.1846969127655029,0.4673398733139038,0.3952089675202091,0.1229688078165054,0.1131424680352211,0.1209652200341224,0.2252459079027176,0.1853136718273162,0.2031596004962921,0.0292041487991809,0.357076495885849,0.6137192249298096,0.0292041487991809,512,0.560546875,0.439453125,0.22462677955627441,0.1600653231143951,0.22462677955627441,0.0071286857128142755,-0.008844971656799316,0.0017164275050163998
1000,0.0404421128332614,0.0319247339901171,0.048959489698452,1.0,0.04044211184428455,-0.017034755708334896,285,0.6978352665901184,0.4258548319339752,0.9943841099739076,0.6880322098731995,0.7106924057006836,0.3426830768585205,0.6978352665901184,0.4910658551585367,0.1151401996612548,0.1140532121062278,0.1070758998394012,0.1326674818992614,0.3612783253192901,0.139834851026535,0.0299501661211252,0.3362693190574646,0.6337806582450867,0.0299501661211252,227,0.4771464765071869,0.4044249057769775,0.9788258075714112,0.4983401596546173,0.449350357055664,0.1858554184436798,0.4771464765071869,0.389514381221123,0.1224071979522705,0.1105923950672149,0.1197391748428344,0.2188865840435028,0.197184219956398,0.2015380561351776,0.0296525452286005,0.3527387678623199,0.617608904838562,0.0296525452286005,512,0.556640625,0.443359375,0.22068879008293152,0.1568276584148407,0.22068879008293152,-0.01646944880485529,0.016171753406524658,0.0002976208925247019
1200,0.0410889964550733,0.0332597985234059,0.0489181968988033,1.0,0.0410889977111046,-0.015658398375397398,284,0.7119352221488953,0.4400046765804291,0.9939391613006592,0.6884172558784485,0.7417623996734619,0.3713887929916382,0.7119352221488953,0.52166092675403,0.1089354082942009,0.1078365892171859,0.1011594086885452,0.1395381838083267,0.364150196313858,0.1486439704895019,0.0297361835837364,0.3179314136505127,0.6523323655128479,0.0297361835837364,228,0.4795265793800354,0.4016990065574646,0.97927588224411,0.4995131194591522,0.4541780650615692,0.1962615251541137,0.4795265793800354,0.4092818406751,0.1228389516472816,0.109302319586277,0.119374044239521,0.2149801105260849,0.2065019607543945,0.1964833736419677,0.0305191613733768,0.3515153229236603,0.6179654598236084,0.0305191613733768,512,0.5546875,0.4453125,0.23240864276885986,0.1751272678375245,0.23240864276885986,-0.03358390927314758,0.0343669056892395,-0.0007829777896404023
1400,0.0396474450826644,0.031723335595198,0.0475715564792616,1.0,0.0396474460372298,-0.015848220884063596,284,0.7076829671859741,0.4370136559009552,0.994377613067627,0.6886030435562134,0.7296032309532166,0.3817913830280304,0.7076829671859741,0.5394949367670013,0.1072071194648742,0.1059432402253151,0.0992105230689048,0.1447198688983917,0.358015239238739,0.1555001884698867,0.0294038448482751,0.3123608827590942,0.6582353115081787,0.0294038448482751,228,0.4888953864574432,0.4103898406028747,0.9802576899528505,0.5006236433982849,0.4754211008548736,0.2177806794643402,0.4888953864574432,0.4454545513056335,0.1219270974397659,0.1067097634077072,0.1179028823971748,0.211519181728363,0.2129137963056564,0.1985034793615341,0.0305237211287021,0.3465397357940674,0.622936487197876,0.0305237211287021,512,0.5546875,0.4453125,0.21878758072853094,0.16401070356369019,0.21878758072853094,-0.0341788530349732,0.035298824310302734,-0.0011198762804269999
1600,0.0414160657674074,0.0361176627438242,0.0467144705189598,1.0,0.041416066631391996,-0.010596807775135601,287,0.7204950451850891,0.449610561132431,0.9941638112068176,0.6855952739715576,0.7594751119613647,0.4016074538230896,0.7204950451850891,0.557404871737697,0.1054581999778747,0.1041904762387275,0.0978409200906753,0.1510791331529617,0.3499990999698639,0.162085011601448,0.0293471943587064,0.3074895739555359,0.6631632447242737,0.0293471943587064,225,0.4961537718772888,0.414387434720993,0.9816661477088928,0.501598060131073,0.4900729954242706,0.2279367744922638,0.4961537718772888,0.4594075119811104,0.1192491352558136,0.1028732061386108,0.1145817786455154,0.2068500220775604,0.2225394546985626,0.2031603008508682,0.0307461228221654,0.3367041349411011,0.6325497627258301,0.0307461228221654,512,0.560546875,0.439453125,0.2243412733078003,0.1736706793308258,0.2243412733078003,-0.029214560985565186,0.030613481998443604,-0.0013989284634589975
1800,0.0391402654349803,0.0323837545368221,0.0458967747677743,1.0,0.039140264652298196,-0.013513020230952195,286,0.6945371031761169,0.434580534696579,0.9941995739936828,0.6858335733413696,0.7061983942985535,0.3629955053329468,0.6945371031761169,0.5226437845386965,0.104263536632061,0.1030498221516609,0.0968898460268974,0.1581436842679977,0.340580016374588,0.1676903069019317,0.0293826218694448,0.3042032122611999,0.6664140224456787,0.0293826218694448,226,0.4857994019985199,0.4024611413478851,0.9813489317893982,0.4977957904338836,0.4697262048721313,0.2058559209108352,0.4857994019985199,0.4237467477862292,0.1165595650672912,0.099185012280941,0.1113255321979522,0.2013575136661529,0.2320216745138168,0.2084257900714874,0.0311249792575836,0.3270701169967651,0.6418049335479736,0.0311249792575836,512,0.55859375,0.44140625,0.20873770117759705,0.15713958442211157,0.20873770117759705,-0.022866904735565186,0.024609088897705078,-0.0017423573881388023
2000,0.0376338977366685,0.0318017683245918,0.0434660270678258,1.0,0.0376338976962088,-0.011664258743233999,286,0.7018657326698303,0.4390935599803924,0.9943708777427672,0.6855237483978271,0.718949556350708,0.3993052542209625,0.7018657326698303,0.568919709205415,0.1037547141313552,0.1025373339653015,0.0964965745806694,0.1639638841152191,0.3333218097686767,0.1706666499376297,0.0292589552700519,0.3027886152267456,0.6679523587226868,0.0292589552700519,226,0.4843688011169433,0.4033092558383941,0.983488142490387,0.5019494295120239,0.4659901559352875,0.2288227528333664,0.4843688011169433,0.4724142999746544,0.1151308715343475,0.0967546328902244,0.1092474684119224,0.1973805427551269,0.2388574481010437,0.2113795280456543,0.0312494151294231,0.3211329877376556,0.647617518901825,0.0312494151294231,512,0.55859375,0.44140625,0.21749693155288702,0.17048250138759613,0.21749693155288702,-0.01834437251090998,0.020334839820861816,-0.001990459859371199
