event_epoch,pre_epoch,feature,pre,post,diff,zscore,abs_z,rank
200,0,env__err_signed_p90_island0,-0.066091388463974,0.1798338890075683,0.2459252774715423,3.9547978209359886,3.9547978209359886,1
200,0,env__err_signed_p75_island0,-0.2234267741441726,0.0816252380609512,0.3050520122051238,3.4594997389272852,3.4594997389272852,2
200,0,prof__y_sem_mean_island1,0.692179262638092,1.0003217312259949e-06,-0.6921782623163608,-3.316624788977319,3.316624788977319,3
200,0,prof__delta_sun_mean_island1,0.0010320114670321,0.0359273888170719,0.0348953773500398,3.246385006199016,3.246385006199016,4
200,0,prof__delta_ratio_sun_over_plant_island1,103201.14670321344,3592738.8817071915,3489537.735003978,3.2463850061990156,3.2463850061990156,5
200,0,prof__delta_ratio_sun_over_plant_diff_0_minus_1,-103200.99507533583,-3592738.3423446594,-3489537.3472693237,-3.2463847916045157,3.2463847916045157,6
200,0,env__err_signed_p90_diff_0_minus_1,-0.7277622520923615,-0.03161691129207608,0.6961453408002853,3.034863734886277,3.034863734886277,7
200,0,env__err_abs_min_island0,0.0058400630950927,0.0007573366165161,-0.0050827264785765994,-3.029369881034114,3.029369881034114,8
200,0,prof__y_mix_std_island0,0.0009319523232989,0.2155960202217102,0.2146640678984113,3.0211791844768205,3.0211791844768205,9
200,0,env__err_abs_p10_island0,0.1247120797634124,0.02200847864151,-0.10270360112190241,-3.0121815187304706,3.0121815187304706,10
400,200,prof__delta_ratio_sun_over_plant_diff_0_minus_1,-3592738.3423446594,-200408.81053662222,3392329.5318080373,3.155950461109224,3.155950461109224,1
400,200,prof__delta_ratio_sun_over_plant_island1,3592738.8817071915,200409.53531861305,-3392329.3463885784,-3.155950146557803,3.155950146557803,2
400,200,prof__delta_sun_mean_island1,0.0359273888170719,0.0020040953531861,-0.0339232934638858,-3.155950146557803,3.155950146557803,3
400,200,prof__y_stat_mean_island0,0.9614135026931764,2.3059065341949463,1.34449303150177,3.0923982410431994,3.0923982410431994,4
400,200,prof__attn_mean_4_island1,0.18225659430027,0.3650373518466949,0.1827807575464249,3.0622659799163796,3.0622659799163796,5
400,200,prof__attn_mean_4_island0,0.17424076795578,0.3471066355705261,0.17286586761474612,2.8590876939970684,2.8590876939970684,6
400,200,prof__y_stat_mean_island1,0.3582399189472198,1.4489315748214722,1.0906916558742523,2.5700138067974,2.5700138067974,7
400,200,prof__attn_mass_0_2_island1,0.3693277239799499,0.282634973526001,-0.08669275045394892,-2.561038837650954,2.561038837650954,8
400,200,threshold_diff,-0.3104746863245964,-0.066809487529099,0.24366519879549742,2.513331687741886,2.513331687741886,9
400,200,env__err_abs_max_diff_0_minus_1,0.25352877378463745,0.6737061329185964,0.4201773591339589,2.4843305246751606,2.4843305246751606,10
600,400,prof__y_stat_mean_island0,2.3059065341949463,1.1213489770889282,-1.184557557106018,-2.7245390048005294,2.7245390048005294,1
600,400,prof__attn_mean_4_diff_0_minus_1,-0.017930716276168768,0.02764344215393061,0.045574158430099376,2.626466735843799,2.626466735843799,2
600,400,prof__y_stat_mean_island1,1.4489315748214722,0.3507945239543915,-1.0981370508670807,-2.5875575074625448,2.5875575074625448,3
600,400,prof__delta_ratio_sun_over_plant_diff_0_minus_1,-200408.81053662222,-2712993.4450013004,-2512584.6344646784,-2.337506589900319,2.337506589900319,4
600,400,prof__delta_ratio_sun_over_plant_island1,200409.53531861305,2712994.068861008,2512584.533542395,2.337506390797141,2.337506390797141,5
600,400,prof__delta_sun_mean_island1,0.0020040953531861,0.02712994068861,0.0251258453354239,2.3375063907971354,2.3375063907971354,6
600,400,prof__attn_mean_0_island0,0.0920844450592994,0.1286112964153289,0.0365268513560295,2.2658831266714983,2.2658831266714983,7
600,400,prof__attn_mean_6_diff_0_minus_1,0.02146223932504661,0.003718137741088902,-0.017744101583957707,-2.056926969187792,2.056926969187792,8
600,400,prof__attn_mass_6_diff_0_minus_1,0.02146223932504661,0.003718137741088902,-0.017744101583957707,-2.056926969187792,2.056926969187792,9
600,400,env__err_abs_std_island1,0.001145817543567,0.020934243220534,0.019788425676966998,1.9831598671452373,1.9831598671452373,10
800,600,prof__attn_mean_4_island1,0.2948639988899231,0.2128212451934814,-0.0820427536964417,-1.3745250699021754,1.3745250699021754,1
800,600,prof__attn_mean_3_island1,0.1998110860586166,0.2397937476634979,0.03998266160488129,1.3651068968989084,1.3651068968989084,2
800,600,prof__attn_mean_5_island1,0.1416580975055694,0.1986123770475387,0.0569542795419693,1.1669092711763123,1.1669092711763123,3
800,600,env__err_signed_p10_island0,-0.2306342124938964,-0.1064894199371337,0.1241447925567627,1.143087742842241,1.143087742842241,4
800,600,prof__y_sem_mean_island0,0.8016826510429382,0.8807283639907837,0.07904571294784546,1.1418682219807843,1.1418682219807843,5
800,600,prof__attn_mean_4_diff_0_minus_1,0.02764344215393061,0.0472442507743836,0.019600808620452992,1.1296066369765307,1.1296066369765307,6
800,600,prof__attn_mean_0_diff_0_minus_1,0.015014335513114901,0.05200143158435819,0.036987096071243286,1.1074663605708606,1.1074663605708606,7
800,600,env__err_signed_std_diff_0_minus_1,0.1221907531104898,0.0716362583488063,-0.0505544947616835,-1.088476418063964,1.088476418063964,8
800,600,env__err_signed_std_island0,0.1431249963310238,0.1018330603278574,-0.0412919360031664,-1.0844256239400165,1.0844256239400165,9
800,600,env__err_abs_p90_island0,0.2370765507221222,0.1384477913379669,-0.0986287593841553,-1.0370792448223412,1.0370792448223412,10
1000,800,prof__attn_mean_4_diff_0_minus_1,0.0472442507743836,0.006117016077041626,-0.041127234697341974,-2.370187790422663,2.370187790422663,1
1000,800,prof__attn_mean_3_diff_0_minus_1,-0.0383514612913132,0.009254500269889804,0.047605961561203,2.2169856360083284,2.2169856360083284,2
1000,800,prof__attn_mean_3_island1,0.2397937476634979,0.2099694013595581,-0.02982434630393979,-1.0182769030573786,1.0182769030573786,3
1000,800,prof__attn_mean_5_island0,0.1489468663930893,0.2014567404985427,0.05250987410545341,0.9599705107639348,0.9599705107639348,4
1000,800,prof__attn_mean_5_diff_0_minus_1,-0.04966551065444941,-0.03457342088222509,0.015092089772224315,0.93895150620624,0.93895150620624,5
1000,800,prof__attn_mass_0_2_diff_0_minus_1,0.042307525873184204,0.022066116333007812,-0.02024140954017639,-0.9136905550539318,0.9136905550539318,6
1000,800,prof__attn_mean_4_island0,0.260065495967865,0.2093512117862701,-0.050714284181594876,-0.8387808872519108,0.8387808872519108,7
1000,800,prof__attn_mass_3_5_diff_0_minus_1,-0.04077267646789551,-0.019201934337615967,0.02157074213027954,0.7939504788376363,0.7939504788376363,8
1000,800,prof__attn_mean_5_island1,0.1986123770475387,0.2360301613807678,0.03741778433322909,0.7666352694909546,0.7666352694909546,9
1000,800,env__err_signed_max_diff_0_minus_1,0.12445878982543951,0.18508066982030869,0.06062187999486918,0.646175049762748,0.646175049762748,10
